,id,name,totalViews,totalSubscribers,totalVideos
0,UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,28503667858,111000000,4502
1,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,17165008295,103000000,727
2,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,14838548409,58200000,299
3,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,18824566495,33500000,5216
4,UCpB959t8iPrxQWj7G6n0ctQ,SSSniperWolf,20954687701,32600000,3114
5,UCTkXRDQl0luXxVQrRQvWS6w,Dream,2694306757,30100000,110
6,UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,15548901444,28700000,4999
7,UCKqH_9mk1waLgBiL2vT5b9g,VanossGaming,14953807114,25700000,1592
8,UCwD4x63A9KC7Si2RuSfg-SA,Lucas and Marcus,8340170080,26600000,980
9,UClQubH2NeMmGLTLgNdLBwXg,ZHC,2250768357,24400000,298
